timestamp,event_type,joint_names,joint_positions,joint_velocities,joint_efforts
52.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00826946147168428;0.102180984270281;0.32806582706764864;-0.44193738935684834,,
52.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008438658211483485;0.05476768405697374;0.39084242094915744;-0.4573418758697798,,
53.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008509055956281486;0.005959505073021454;0.45330944575404075;-0.4710661171226107,,
53.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008479738046252017;-0.04382016797854771;0.5145109993088743;-0.4825703650479216,,
54.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.008350910821438795;-0.09425791152956808;0.5737817080484637;-0.4914975649608184,,
54.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.008125582697288358;-0.1450598499133866;0.6306109146124408;-0.4976271757237125,,
55.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00781405117532774;-0.19589922698552353;0.6845671331423206;-0.5008509781241361,,
55.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.007426953718870699;-0.24639382481100203;0.7352701310719505;-0.5011673457641912,,
56.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.006978481474972931;-0.2960947407501431;0.7823834137675556;-0.4986845049699742,,
56.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.006486969155923283;-0.344489830375486;0.8256223865825074;-0.4936254013308208,,
57.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.00596910077193602;-0.3910173674100763;0.8647652456178383;-0.48632533321142724,,
57.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.005444334465569689;-0.4350902964872665;0.8996635204570191;-0.4772187327022177,,
58.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004931408559044392;-0.4761348295919232;0.9302535422955227;-0.46681286129421995,,
58.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.004446801793087651;-0.5136394416406906;0.956565118275817;-0.4556479044626798,,
59.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.004007080635541449;-0.5472084711505056;0.978726762575806;-0.4442490857374466,,
59.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.003624804115712088;-0.5766106484261817;0.9969652045947361;-0.43307730035507497,,
60.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0033102525940735816;-0.6018060276325423;1.0115941734063059;-0.42249048311048476,,
60.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.003074201598155746;-0.6229322925015035;1.0229843720674374;-0.41272642607357213,,
61.0,deviated_waypoint,joint1;joint2;joint3;joint4,0.0029203880881611965;-0.6402301244030495;1.031504868649641;-0.40391686878677646,,
61.5,deviated_waypoint,joint1;joint2;joint3;joint4,0.002851457230838683;-0.6538893801171168;1.0374267896900946;-0.39614415215200793,,
